token,count
clothes,5
poured,5
higher,5
pause,5
assumed,5
weak,5
glance,5
exile,5
viewed,5
blast,5
remainder,5
cut,5
insurmountable,5
environs,5
anger,5
news,5
replacement,5
subjects,5
crowd,5
deliverer,5
fingers,5
hateful,5
mutual,5
cottages,5
ties,5
nervous,5
descend,5
exquisite,5
habitation,5
supported,5
lie,5
narration,5
sprang,4
edinburgh,4
mate,4
saying,4
solemnity,4
shake,4
lavenza,4
forgotten,4
rugged,4
romantic,4
fees,4
happier,4
incapable,4
stole,4
forgive,4
impatient,4
sympathies,4
sympathise,4
included,4
masters,4
inanimate,4
grand,4
strangers,4
reverence,4
ruined,4
seated,4
shelter,4
grasped,4
strangely,4
spurned,4
inaccessible,4
four,4
ear,4
slavery,4
leaving,4
matter,4
sorrows,4
eager,4
exchanged,4
sal̻ve,4
inspire,4
service,4
expedition,4
goodness,4
married,4
dust,4
government,4
eat,4
lightning,4
sting,4
format,4
sailed,4
shock,4
giving,4
kept,4
strasburgh,4
ireland,4
editions,4
extinction,4
roots,4
intellect,4
extremely,4
supernatural,4
madame,4
endowed,4
struggle,4
informed,4
soothe,4
hailed,4
structure,4
influence,4
soothing,4
inflamed,4
sickening,4
entreaties,4
finish,4
hesitated,4
loss,4
sunshine,4
senseless,4
saville,4
flowed,4
seem,4
shudder,4
houses,4
flight,4
laughter,4
lament,4
holder,4
journal,4
stones,4
fix,4
funeral,4
rustic,4
ensuing,4
habits,4
snatched,4
luxury,4
loveliness,4
seems,4
seemingly,4
enthusiastic,4
selfish,4
highly,4
highest,4
selfishness,4
frozen,4
flesh,4
firmness,4
injury,4
guitar,4
surround,4
encompassed,4
infancy,4
smiled,4
lofty,4
laugh,4
status,4
imbued,4
failing,4
revive,4
helpless,4
induce,4
individual,4
march,4
height,4
swiftness,4
six,4
eight,4
evils,4
interval,4
swiss,4
scope,4
heavenly,4
scenery,4
hearts,4
explain,4
examine,4
imagine,4
sadness,4
especially,4
suspicion,4
scattered,4
equally,4
heroes,4
ignominy,4
sooner,4
scream,4
ignorance,4
fact,4
shown,4
suspense,4
spite,4
eluded,4
lies,4
sentiment,4
exposed,4
ineffectual,4
images,4
sentiments,4
gazing,4
knowing,4
freed,4
judgment,4
fast,4
shade,4
painted,4
delightful,4
assuredly,4
watchful,4
break,4
concluded,4
assistance,4
plainly,4
pay,4
deemed,4
aside,4
breathed,4
ascended,4
venerable,4
veins,4
comprehend,4
website,4
weeping,4
pleasures,4
bread,4
decline,4
watched,4
waste,4
confidence,4
confide,4
ugly,4
branch,4
torment,4
decay,4
mrs,4
deceived,4
paying,4
decide,4
decided,4
mourning,4
ate,4
unacquainted,4
asylum,4
remark,4
plentiful,4
delights,4
attentions,4
arranged,4
descent,4
rely,4
deserted,4
whispered,4
throw,4
animals,4
paths,4
variety,4
vanish,4
posted,4
putting,4
burden,4
pursuits,4
alter,4
moderate,4
willingly,4
threats,4
undertake,4
appearances,4
whence,4
morrow,4
deliver,4
delivered,4
recollect,4
demanded,4
requirements,4
pocket,4
composure,4
odious,4
pole,4
poets,4
depended,4
offer,4
quite,4
apprehension,4
depressed,4
research,4
attending,4
pilgrimage,4
mock,4
persons,4
contained,4
travel,4
